epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,204.317,1.27101,1.82484,1.17522,0.75647,0.67344,0.71058,0.46644,1.05977,1.31935,1.1319,0.0005001,0.0005001,0.0005001
2,422.462,1.30462,1.17392,1.18276,0.38324,0.43338,0.33531,0.23595,1.44932,3.54141,1.42731,0.000996736,0.000996736,0.000996736
3,649.08,1.35344,1.13059,1.21168,0.41318,0.31625,0.29901,0.13429,2.27617,3.47961,2.32648,0.00147291,0.00147291,0.00147291
4,877.811,1.30676,1.0625,1.17918,0.45667,0.60049,0.50031,0.33896,1.3861,1.5097,1.39881,0.00156798,0.00156798,0.00156798
5,1091.6,1.27334,1.00535,1.1893,0.35225,0.59068,0.44283,0.26854,1.48507,1.64954,1.53109,0.00153497,0.00153497,0.00153497
6,1307.96,1.26093,1.01321,1.16892,0.54166,0.5308,0.53731,0.33251,1.48086,1.31473,1.48454,0.00150197,0.00150197,0.00150197
7,1536.09,1.26121,1.01195,1.163,0.55551,0.35271,0.40288,0.21259,1.91663,1.80358,1.67246,0.00146896,0.00146896,0.00146896
8,1760.84,1.25491,0.99016,1.16285,0.59673,0.69503,0.68305,0.46019,1.27687,0.98536,1.32431,0.00143595,0.00143595,0.00143595
9,1985.84,1.22847,0.96617,1.15306,0.63033,0.6392,0.65598,0.46855,1.11839,0.9409,1.21229,0.00140295,0.00140295,0.00140295
10,2212.43,1.19799,0.91162,1.12927,0.69464,0.7423,0.70851,0.46493,1.28134,1.02558,1.25564,0.00136994,0.00136994,0.00136994
11,2432.52,1.20355,0.9177,1.13073,0.71508,0.76115,0.73932,0.50833,1.14416,0.84808,1.20967,0.00133693,0.00133693,0.00133693
12,2659.05,1.16639,0.90323,1.12238,0.68857,0.76107,0.76777,0.52065,1.09763,0.94455,1.16616,0.00130393,0.00130393,0.00130393
13,2888.82,1.17323,0.89499,1.10513,0.78787,0.78071,0.85174,0.53282,1.16057,0.83731,1.20181,0.00127092,0.00127092,0.00127092
14,3120.27,1.16833,0.90575,1.10022,0.76627,0.79014,0.78808,0.50949,1.26288,0.98833,1.25079,0.00123791,0.00123791,0.00123791
15,3350.61,1.11136,0.83393,1.09734,0.73713,0.76184,0.81932,0.57022,1.0087,0.8241,1.15051,0.00120491,0.00120491,0.00120491
16,3574.72,1.11597,0.82942,1.0703,0.77072,0.81513,0.83358,0.56698,1.07777,0.82404,1.12452,0.0011719,0.0011719,0.0011719
